Name,Salary,Description,Company,Area
Java-разработчик (удаленно),200000,Разрабатывать серверную часть веб-приложений на JAVA (новый программный продукт). Принимать участие в проектировании (выборе технологических подходов и технических решений...,Коркласс,Москва
Java Senior Developer / Архитектор Java,350000,,Крит,Москва
Java-разработчик на «Фактор»,280000,"Работаете в коммерческой разработке на Java (SE, EE) более 2 лет (с упором на Backend). Развивать «Фактор» и исправлять ошибки.",HFLabs,Москва
Java - разработчик (стажер),Не указана,Выполнение тестового задания. Собеседование с ментором по итогам задания и в целом.,AIM Consulting,Омск
Junior Java Developer,122000,"Emma занимается разработкой платформы для создания и управления мультиоблачными виртуальными окружениями. Платформа позволяет, используя единый веб-интерфейс, развёртывать виртуальные сервера...",Emma - home of multicloud,Новосибирск
Java-разработчик (Junior/Middle),140000,Компания БЭКАП ИТ представляет на российском рынке интересы немецкой компании pirobase https://www.pirobase-imperia.com/en разрабатывающей решения в области e-commerce...,Bacup IT,Новосибирск
Java разработчик,140000,"Будете добавлять новые и улучшать существующие функции сервиса: простой и удобный интерфейс для продавцов, графики и аналитику для руководителей. ",МойСклад,Москва
Программист Java на удаленную работу,140000,,Кортекс,Краснодар
Java Junior Developer,80000,"Разработка высоконагруженных сайтов, которые посещают тысячи пользователей одновременно. Участие в разработке архитектуры web-приложений компании. Оптимизация производительности системы, исходя из...",Платформа ОФД,Москва
Java Middle Developer,140000,ЮЗДО (юридически значимый документооборот). Мы собираемся избавить мир ресторанов от бумажных накладных совсем. Для этого нужно организовать процесс обмена электронными...,Доксинбокс,Санкт-Петербург
Java-разработчик,200000,"Разработка сложной многопользовательской системы на Java. Взаимодействие с другими членами команды разработки (аналитики, разработчики, тестировщики). Разработка интеграционных взаимодействий между системами.",Бизнес-Азимут,Москва
Junior программист (Java),90000,Разработка нового функционала сайта. Анализ задач и оценка их трудоемкости. Написание интеграционных и автотестов. Развитие архитектуры продукта.,МирВрача,Москва
Java Developer / Back-end,2500,GitLab CI/CD & Jenkins. GitLab CI/CD & Jenkins.,AMZscout Corp,Москва
Java разработчик,2400,,Wikiroutes,Киев
Java-разработчик (удалённо),160000,Разработка и настройка ПО для интеграционных сервисов на основе микросервисной архитектуры. Рефакторинг существующих систем.,DCloud,Москва
Java Developer (удаленная работа),200000,,Крит,Москва
Разработчик Java (Spring)/Backend developer,150000,На проект контроля движения товаров по цепочке продаж и возвратов. Разрабатывать ПО. Подготавливать документацию. Рефакторить ПО.,Вивсяная Инна,Москва
Java-разработчик,110000,Более конкретную зарплату сможем назвать после собеседования.,FunBox,Санкт-Петербург
Senior Java Backend developer,300000,Разработка новых продуктов компании. Поддержка и развитие текущей архитектуры. Участие в новых проектах и разработке инфраструктурного кода. Написание тестов. ,Дельта Софт Групп,Москва
Java-разработчик,195000,"Разработка и оптимизация серверной части ERP-систем (backend). Поддержка существующих и разработка новых решений. Документирование кода, API разрабатываемых продуктов.",Innovasystem,Москва
Java-разработчик (Backend),140000,Участие в проектировании и разработке аналитической платформы iRule и аналитических систем на её базе (Backend).,Институт проблем безопасности и анализа информации,Москва
Разработчик Java (middle) - удаленно,160000,"Разработка интеграционных решений и backend для систем самообслуживания (ЛК, МП).","айФлекс, компания",Москва
Senior Java Developer на проекте HONEYWELL,250000,"Участие в разработке ПО для крупных проектов, в основном, backend. Разработка сложных, высоконагруженных backend систем с использованием современного технологического стэка.",Айкона Консалтинг,Санкт-Петербург
Java-разработчик,140000,"Разработка новых модулей и доработка существующих. Интеграция с системами заказчика. Консультация других программистов, ревью их кода. Написание тестов. Рефакторинг.",Соинтех,Москва
Senior Java Developer / Java-разработчик,190000,Реализовывать алгоритмы работы с данными. Прорабатывать функциональные блоки бекенд части от проектирования до реализации. Участвовать в code review. Проектировать API.,ТетраСофт,Санкт-Петербург
Senior Java Developer (Cloud),300000,"Создавать новую функциональность в популярном продукте, работая преимущественно на серверном уровне. Писать unit-тесты, в отдельных случаях - интеграционные тесты. ",ALM Works,Новосибирск
