Name,Salary,Description,Company,Area
Водитель штабелёра,16500,"Business Group Logistics — ведущий национальный логистический 3PL-оператор с...
        ",Бизнес Груп,Вишгород
Сканировщик,13800,РАБОТА В КИЕВСКОЙ ОБЛАСТИ. ЖИЛЬЕ ПРЕДОСТАВЛЕМ БЕСПЛАТНО.,Бизнес Груп,Суми
Комплектовщик,14000,"Вusiness Group Logistics — ведущий национальный логистический 3PL-оператор с опытом работы более 20...
        ",Бизнес Груп,Бровари
Комплектовщик на склад,13800,Работа в Киевской области. Проживанием обеспечиваем.  ,Бизнес Груп,Житомир
"Комплектовщик (Киевская обл., с бесплатным проживанием)",14000,РАБОТА В КИЕВСКОЙ ОБЛАСТИ. ЖИЛЬЕ ПРЕДОСТАВЛЕМ БЕСПЛАТНО.,Бизнес Груп,Херсон
Комплектовщик заказов (Киевская обл.),14000,РАБОТА В КИЕВСКОЙ ОБЛАСТИ. ЖИЛЬЕ ПРЕДОСТАВЛЕМ БЕСПЛАТНО.,Бизнес Груп,Чернігів
Грузчик,13000,Business Group Logistics — ведущий национальный логистический 3PL-оператор с опытом работы более 20 лет.,Бизнес Груп,Бориспіль
Офис-менеджер,13000,"Крупная торговая компания БУДПОСТАЧ приглашает в свой дружный коллектив ответственного и грамотного Офис-менеджера,...
",ПП «Будпостач»,Одеса
"Водитель на авто компании такси (Uber, Bolt, Uklon)",20000,ПОЧЕМУ МЫ:,Anycar ,Київ
Оператор 1С,13200,"Вusiness Group Logistics — ведущий национальный логистический 3PL-оператор с опытом работы более 20...
        ",Бизнес Груп,Вишгород
Сканировщик на склад,13000,"Вusiness Group Logistics — ведущий национальный логистический 3PL-оператор с опытом работы более 20...
        ",Бизнес Груп,Бровари
Донор яйцеклітин,35000,ПРОПОНУЄМО ДОДАТКОВИЙ ЗАРОБІТОК ДЛЯ ЖІНОК.,"Клініка Генетики Репродукції ""Вікторія"" ТОВ",Київ
Сервис мастер,10000,"Торговая компания БУДПОСТАЧ приглашает в авторизированный сервисный центр специалиста по ремонту бензо-электроинструмента,...
",ПП «Будпостач»,Сарни
"Менеджер активных продаж, Торговый представитель",18000,"Крупная Торговая компания БУДПОСТАЧ приглашает к сотрудничеству Амбициозного Продуктивного специалиста позицию Торговый...
",ПП «Будпостач»,Хуст
"Менеджер активных продаж, Торговый представитель",15000,"Крупная Торговая компания БУДПОСТАЧ приглашает к сотрудничеству Амбициозного Продуктивного специалиста позицию Торговый...
",ПП «Будпостач»,Первомайськ (Миколаївська обл.)
Торговый представитель с авто,18000,"Крупная Торговая компания БУДПОСТАЧ приглашает к сотрудничеству Амбициозного Продуктивного специалиста позицию Торговый...
",ПП «Будпостач»,Вінниця
Торговый представитель с авто,18000,"Торговая компания БУДПОСТАЧ приглашает к сотрудничеству специалиста на позицию Торговый...
",ПП «Будпостач»,Житомир
Торговий представник зі своїм автомобілем,20000,"Крупная Торговая компания БУДПОСТАЧ приглашает к сотрудничеству Амбициозного Продуктивного специалиста позицию Торговый...
",ПП «Будпостач»,Львів
Торговий представник зі своїм автомобілем,20000,"Торгова компанія БУДПОСТАЧ запрошує до співпраці фахівця з регіонального розвитку (активні продажі). Группа...
        ",ПП «Будпостач»,Луцьк
